Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,nc
"C10, C11, C8, C9",0402,4,1n,
"C12, C14, C2, C20, C23, C3, C4, C6, C7",0402,9,1µ,C307413
"C13, C15, C16, C17, C18, C19",0402,6,100n,C1581
"C21, C22",0402,2,15p,C1548
"C24, C26, C27, C28",0603,4,4µ7,C415373
D1,LED_Cree-PLCC4_2x2mm_CCW,1,WS2812B_Geaendertes_Symbol,C965556
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D4, D5, D6, D7, D8, D9",D_SOD-123F,23,D,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,AKKU,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,TE_1-1734839-0_1x10-1MP_P0.5mm_Horizontal,1,Conn_01x10_Shielded,
"J4, J5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
L1,0402,1,2n2,C27122
"L2, L3",L_Bourns-SRN4018,2,10µ,C520273
"M1, M2",BatteryHolder_Seiko_MS621F,2,Motor_DC,C2759984
"Q1, Q2",SOT-23,2,SI2302,
Q3,SOT-23,1,PMOS,
"R1, R2",0603,2,22,
"R10, R11, R12, R14, R3, R4, R5, R6, R9",0402,9,10K,
"R13, R19, R22, R25",0603,4,100K,C15458
"R15, R16, R17, R18",0402,4,100K,
"R20, R23, R30",0603,3,4K7,C105428
R21,0603,1,430K,C170597
R24,0603,1,590K,C23208
"R7, R8",0603,2,5K1,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C482003
"SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27",RubberpadButton_250µ_250µ,12,SW_Push,C100056
SW3,SW_Panasonic_EVQP6xB55,1,SW_Push,
"SW4, SW5",SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,2,SW_Push,
SW6,SW_SPDT_PCM12,1,SW_DIP_x01,C3036445 C223846
"U10, U4, U6, U7",SOT-23-6,4,~,C879630
"U11, U5",FJ08K-S,2,~,
"U12, U3",SOT-23-6,2,MT3420C,C181741
"U2, U8",SW_RKJXV122400R,2,~,
U9,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz,C424431
